model,fold,accuracy,roc_auc,precision,recall,f1
mlp,1,0.67003367003367,0.7195769618166834,0.6636363636363637,0.5447761194029851,0.5983606557377049
mlp,2,0.7003367003367004,0.7758447028660379,0.6642335766423357,0.6791044776119403,0.6715867158671587
mlp,3,0.7138047138047138,0.7836278729054116,0.6622516556291391,0.746268656716418,0.7017543859649122
mlp,4,0.7070707070707071,0.7850265908674122,0.676923076923077,0.6616541353383458,0.6692015209125475
mlp,5,0.6531986531986532,0.7439482853475152,0.6056338028169014,0.6466165413533834,0.6254545454545454
