"method","seconds"
"Maaslin2",63.7754609584808
"Lefse",911.696421146393
"ANCOMBC",98.5212709903717
"Wilcoxon",3.98246192932129
"metagenomeSeq",3.29441094398499
"t_test",3.36897492408752
