,maaslin2,metagenomeSeq,ttest,wilcoxon,lefse,ancombc
t__SGB4716,0.0196598266196324,0.100082234234839,0.06164490327447084,0.0241744502401133,0.0241528187727944,0.00102418704773164
t__SGB1644,0.0196598266196324,0.509600719883604,0.05467341099780055,0.9276829173185003,0.927099449243763,2.62431949591317e-09
t__SGB15078,0.0196598266196324,0.000952339838400365,0.07212769729688516,0.0343259868898205,0.0342693756670774,0.000296978721417106
t__SGB4540_group,0.020399866332208,0.00247408419354194,0.05467341099780055,0.0005432355507808709,0.000543681545978111,3.80643600381147e-05
t__SGB15090,0.0205004355308309,0.183642424510349,0.14486210551212614,0.45629872512094705,0.456190299701857,2.00662268163677e-07
t__SGB1844,0.0213429315906531,0.0014284700792148,0.05467341099780055,0.0066645959190622175,0.00665968778968871,8.72259748449049e-05
t__SGB4699,0.0213429315906531,1.67144076357317e-13,0.11462429058947154,2.8434305346116866e-21,2.84152548424207e-21,8.40569307579289e-23
t__SGB2326,0.0213429315906531,0.00505301066112132,0.11760943520976415,0.1514711349690743,,1.17543769774927e-07
t__SGB4837,0.0221685625496526,0.0329967849301778,0.05467341099780055,0.0014443017140469557,0.00144467335765675,0.00857304500509918
t__SGB14962,0.0221685625496526,0.0323104504248398,0.14554426936685627,2.3814049349812617e-05,,0.00600493915404751
t__SGB5062,0.0221880058687601,0.240643253289645,0.05467341099780055,0.013199294631880522,0.0131938904206118,3.84688904474855e-08
t__SGB4659,0.0221880058687601,0.177492346465134,0.08492110992827198,0.00029338766931373593,0.00029344041524032,0.000706256408048761
t__SGB14888,0.0221880058687601,0.0653640921025992,0.18156472602639634,0.5442965905995183,,2.40095900867944e-06
t__SGB6179,0.0221880058687601,0.00892334870293568,0.058393300240678396,0.0031533735905689823,,8.65549740378215e-13
t__SGB14263,0.0252285176815374,0.0499990361706205,0.2755285612622613,0.016747208060023604,,5.31944862105927e-06
t__SGB14909,0.025272142375463,0.0350725009839985,0.19000966444379175,0.13831819380308488,0.138287407631666,1.17543769774927e-07
t__SGB14306,0.0263319422328354,0.0392233261148637,0.14473451732709422,0.07988943348948258,0.0797791164298566,5.86398604062365e-05
t__SGB15273,0.0288401666605007,0.20557388515542,0.23533171154887725,0.0031637894341390734,,0.0836614485552461
t__SGB14924,0.0298959419156615,0.0186864073866016,0.1251495563414624,0.3546959345253768,,5.10973999896203e-10
t__SGB15127,0.0298959419156615,0.00898538439821914,0.12566885555469637,0.006056245008462976,,2.13839417151381e-08
t__SGB15234,0.0300602797718685,0.0350725009839985,0.18156472602639634,0.09765770676247025,0.0975985354321339,0.00315868816326101
t__SGB4767,0.0306124848056285,0.136531347754811,0.11462429058947154,0.16083539065347485,,0.000726465871256868
t__SGB4768,0.0313190316438041,0.591654493762811,0.09469321330457842,0.45160150283350486,,0.00202379746991044
t__SGB14993,0.0315370159826045,0.00192986271353405,0.04776661442784151,0.00042398645668433,0.000423635140579307,3.41386855338284e-05
t__SGB15124,0.0325895993012023,0.00948084275919535,0.1559648354736831,0.13289298483975004,,0.000483435707237345
t__SGB29321,0.0336668643896364,0.0412756514630037,0.20014360890113253,0.11853788765354979,,1.64468873867567e-16
t__SGB15402,0.0336668643896364,0.0329967849301778,0.11462429058947154,0.005406426890950507,,0.000335645402218541
t__SGB4826,0.0343301041635054,0.251355905713983,0.0997081998161282,0.06423946739834817,0.0642229261426131,0.00864882514472917
t__SGB3989,0.034365462970148,0.0215807694842853,0.05467341099780055,0.5277191636360152,,1.220707155331e-11
t__SGB1699,0.034365462970148,0.591654493762811,0.20014360890113253,1.9655479866027706e-05,1.96386946449852e-05,4.04154086932782e-43
t__SGB15467,0.0391168211337563,0.144823265082022,0.19000966444379175,0.04182688404623112,0.0418146514039154,0.0113107700489748
t__SGB14311,0.0399544499355641,0.0653640921025992,0.2723211376176431,0.05928649211149967,0.0592722109141888,0.000180039638153522
t__SGB14844,0.0422576401965926,0.390330325048711,0.23577548729592954,0.18373194465172116,,0.00623296886471046
t__SGB4988,0.0424327639646505,0.00324129190972619,0.2391773475923343,9.680023543937203e-08,9.66663089390038e-08,1.47347068956506e-05
t__SGB15249,0.0451773819543495,0.153165952733833,0.1902974867069843,0.18078964727401983,0.180641351999726,0.119827241072096
t__SGB1949,0.0471922244523577,0.0166446782200169,0.2736697205232859,0.0009594806121812716,0.000958368744008351,0.127468492356658
t__SGB4725,0.0483380329143552,0.144904087751161,0.28023305924883823,0.00014777981074440486,,0.0520650911387249
t__SGB4030,0.0493159728333475,0.10923390165388,0.3033572247942307,0.029304699391634426,,0.000535634554674781
t__SGB1857,0.0557797106220205,0.0108205305556926,0.21910930944219192,0.000110641481583297,0.000110683564858459,9.71257039485788e-05
t__SGB3964,0.0557797106220205,0.0329967849301778,0.2603427165611465,0.7016867039613615,,6.22244477385621e-08
t__SGB15201,0.0557797106220205,3.44658586206359e-05,0.23577548729592954,4.849121841478557e-06,4.85157945214945e-06,2.11076402829747e-22
t__SGB9663_group,0.0576226685983481,0.178532852797629,0.14859683877641353,0.001661475513065068,0.00166193193667347,0.0129102449890021
t__SGB14906,0.0576226685983481,0.136479535802498,0.2787652612839661,0.3697141939999723,0.36964960728074,1.75147745301493e-07
t__SGB1871,0.0590776516325709,0.304901654513636,0.3582519559346335,0.010478502270648733,0.0104599920023207,0.602412902748206
t__SGB4957,0.059277023788976,0.000544439093201929,0.20712543616483192,0.04151053938533417,0.0414788047644681,3.53142396647803e-27
t__SGB15256,0.0606798797240798,0.0817878070593293,0.355252450730566,0.013199294631880522,0.0131938904206118,0.00229066903869383
t__SGB4762,0.0617610052543666,0.00229677889599339,0.27949738122393686,1.0918714787277094e-07,1.09065607209735e-07,8.4620611243915e-05
t__SGB15115,0.0627658182777186,0.239339497442453,0.21206323421760037,0.8866506059528543,,4.23530035857712e-19
t__SGB15132,0.0664690093177468,0.0231772110305136,0.1035117706520103,1.4227824340622789e-05,1.41863600902976e-05,0.0167426166709874
t__SGB4763,0.0664690093177468,0.0186864073866016,0.3254037447074644,0.006344753282396838,,1.26543161358754e-06
t__SGB5076,0.0666783442300695,0.111315363935924,0.2159178113782973,2.5280169491266903e-05,2.52666208798219e-05,6.3767156377855e-06
t__SGB6174,0.0668282290371159,0.455268186888838,0.1519866057431223,0.2579327491283504,,0.00989970343608293
t__SGB15403,0.0743917406991705,0.28101497747271,0.2068404568591483,0.021246770441245597,,0.960315983832369
t__SGB5087,0.0782155437678458,0.293099592843564,0.3943147741409104,0.004687943906287545,0.0046866376726876,0.00454912501423464
t__SGB3813,0.0782155437678458,0.00154957701567452,0.3390910795109104,0.01205485561835572,,1.40045836212418e-07
t__SGB8002,0.0794337337817607,0.599565224147733,0.21910930944219192,0.1206782818292068,0.120629824392126,0.263727400336891
t__SGB4914,0.0794337337817607,0.000785623962396509,0.27949738122393686,0.00020906639616478275,0.000208825550871092,1.58466584766699e-05
t__SGB15291,0.0794337337817607,0.0752960311899675,0.20014360890113253,0.10365846038884344,0.103713760019568,6.44768694968431e-06
t__SGB6939,0.0794337337817607,0.180815568873482,0.4311529383448314,0.3948924396995027,0.394848199535536,0.00180537829886482
t__SGB15126,0.0794337337817607,0.183642424510349,0.4597313122306671,0.0021420157917490562,,0.0748622739090142
t__SGB6276,0.0808162860362243,0.431674772184447,0.323945499869104,0.05293981686566532,0.0529258469060226,0.000557240432067339
t__SGB6340,0.0808162860362243,0.21561405395725,0.21646936682260956,0.3065968923139908,0.3065283211072,1.24068044683389e-15
t__SGB4425_group,0.0824049619511519,0.121960377810945,0.2710318903441276,0.0004110621401319532,0.00041090284821341,0.000416283025938638
t__SGB15053,0.0838210635697233,0.599626733215702,0.4311529383448314,0.4179714755682782,0.417871660808386,0.502314475388498
t__SGB4742,0.0838210635697233,2.26892735044615e-07,0.41932466288665077,2.1777517502657776e-11,2.17664027074425e-11,7.12931612311704e-14
t__SGB15278,0.0838210635697233,0.0108639276471333,0.41932466288665077,0.00272159848382246,,4.72969794054092e-10
t__SGB15159,0.0838210635697233,0.328085143140174,0.3564460490992717,0.16723369411988986,0.167144009959875,0.0038658451541107
t__SGB15131,0.085071026899267,0.0657926813375606,0.16644611810224533,0.011240198348992005,,0.00088997154487991
t__SGB4652,0.0859312801174843,0.264287695910042,0.20014360890113253,0.010673388607239792,0.0106820906483543,0.00651193633046824
t__SGB4769,0.0873923423854303,0.238609620777562,0.19000966444379175,0.3467389413146511,,2.21788163411141e-06
t__SGB14912,0.0923006412365749,0.108832750629095,0.3835844514459701,0.2431129611243904,0.242991810472389,2.93571497990674e-05
t__SGB8026,0.0923006412365749,0.0376714409155984,0.48275423833092673,0.033777812549384785,,8.88863605483494e-18
t__SGB4710,0.0923006412365749,0.0326365254954029,0.2606640790161559,0.0390187442487398,,1.16774441435141e-13
t__SGB14898,0.0925637150003262,0.144823265082022,0.31788576168870436,0.29176367830906436,,2.18703816152167e-05
t__SGB4677,0.0943902181138636,0.181154585970367,0.4367879062185239,0.22748182336540035,,2.60724936057534e-10
t__SGB4644,0.0961307556818162,0.271452475440956,0.24024667534360403,0.6556165245839286,0.655101695660785,5.70534400704568e-06
t__SGB5082,0.0968976321275188,0.00276969683988382,0.3078298272205269,0.03756368765674583,0.0375636876567353,5.05535934861797e-06
t__SGB1855,0.0996196904254712,0.0218100666651462,0.4311529383448314,1.0517297536220293e-12,1.05119840990242e-12,0.0445962849440024
t__SGB15323,0.10082988867043,0.0175754412499274,0.36445343346755593,0.15240921555262776,0.152240539621101,1.18157470496834e-19
t__SGB6847,0.111542461834145,0.0655291773124919,0.2723211376176431,0.3565762329484968,,3.05667032566109e-14
t__SGB15089,0.111542461834145,0.575104380752544,0.4547959893513354,0.9434679057569052,0.943518968587094,0.386085797412238
t__SGB14808,0.11219449798395,0.271452475440956,0.3571950062298254,0.3789394939936424,,3.26438572092089e-10
t__SGB15087,0.11267964049731,0.0457200650446912,0.36445343346755593,0.3487513513268382,0.348685434499191,4.22456133436617e-06
t__SGB14252,0.113960809021399,0.596505405717183,0.4251850783622888,0.5989217231969356,,3.76284512778773e-05
t__SGB4422,0.115488882754552,0.42537744350229,0.37204634604015374,0.09489582445141245,0.0947348461384867,0.000257232499833907
t__SGB15081,0.115488882754552,0.421164348680045,0.4591126695614893,0.7911502733873678,0.791219413868916,0.0226542464080184
t__SGB2301,0.115488882754552,0.159132694753192,0.29309522820248785,0.07988943348948258,0.0797791164298566,0.145060667257803
t__SGB72916,0.115554023614417,0.0730330629634515,0.20812398865558107,0.8865000461834148,,2.60724936057534e-10
t__SGB4775,0.115554023614417,0.00154957701567452,0.486299428196877,0.0005858203739202228,,2.1950849770355e-16
t__SGB4031,0.115554023614417,0.0553029356724228,0.4846639906156276,0.0002887061746643421,,0.00102633071245869
t__SGB5111,0.115753514885713,0.129518252188459,0.3390910795109104,0.2452194125544455,0.245138763523837,4.94682101109705e-07
t__SGB63101,0.115844767040952,0.571595413496112,0.3078298272205269,0.7618172046684722,,0.00013762277601764
t__SGB5200,0.119331871512804,0.0330929742747303,0.4015933772836088,0.03346392416635302,,0.000318489563153175
t__SGB4772,0.12277545571524,0.575104380752544,0.48275423833092673,0.34384287076806985,,9.49557804812044e-05
t__SGB25497,0.123051792986749,0.459250979438279,0.31176201931383685,0.3774191051988553,,8.95890086554866e-10
t__SGB4327,0.127126339027604,0.000114069353724083,0.3823496375999696,0.06600927741953813,0.0659930910409903,2.53484212408764e-32
t__SGB5060,0.127126339027604,0.577980056047588,0.42255024298683996,0.914303524518696,,5.72658167189817e-10
t__SGB15244,0.12770701470445,0.180815568873482,0.41932466288665077,0.52371669736159,0.523643879284277,0.00321752288696818
t__SGB1680,0.12866031151498,0.617895086887394,0.4694893623251758,0.039786038332571716,0.0398259335636654,0.689497871502455
t__SGB4750,0.142875472681752,0.472010595937419,0.4311529383448314,0.015620292590079911,0.0156101878892585,0.102844110217175
t__SGB1867,0.144459676876369,0.617290548725713,0.49445505606924345,0.3546959345253768,0.354019617167258,0.838070194366693
t__SGB14128,0.144459676876369,0.591654493762811,0.4597313122306671,0.5068711357773367,,1.08669828714021e-08
t__SGB6768,0.144459676876369,0.328085143140174,0.5174650324863403,0.04001390205204599,,8.5374035218163e-07
t__SGB15120,0.144459676876369,0.397986816187487,0.5037880905452659,0.5789935946978235,,0.099030981752049
t__SGB15149,0.144459676876369,0.591654493762811,0.486299428196877,0.26236837349869924,,0.0138986167076339
t__SGB5180,0.146234522716035,0.12395631836697,0.41932466288665077,0.36854236698504195,,0.383411275969757
t__SGB14991,0.146656359075676,0.0329967849301778,0.5389155146605571,0.08700528309769877,0.0869871575990034,3.61188013376126e-09
t__SGB7256,0.150991239491562,0.00303772373320068,0.493106900012767,0.0002887061746643421,,7.56100774051421e-08
t__SGB4987,0.150991239491562,0.00921836526484836,0.48275423833092673,0.0005967157171984344,0.00059624997824071,4.04604927418359e-09
t__SGB4709,0.150991239491562,0.281784051396243,0.5174650324863403,0.06600927741953813,,5.46372481443741e-07
t__SGB14965,0.154741619267325,0.551660842695933,0.486299428196877,0.0018613552315560095,,0.263727400336891
t__SGB4820,0.163678402007831,0.413699189653855,0.31176201931383685,0.031161237622284302,0.0311365074591456,0.158326161107834
t__SGB5075,0.163678402007831,0.000788306665117138,0.48275423833092673,0.5321577806312326,0.530999246617307,6.86967439598738e-16
t__SGB1786,0.166355188081279,0.0107464450319078,0.41932466288665077,0.2431129611243904,,7.26892453123323e-08
t__SGB4046,0.166355188081279,0.143500506932231,0.4890467830265258,0.10086201659226056,,0.11068952651861
t__SGB4613,0.166355188081279,0.512669964722327,0.5389155146605571,0.3295024968906808,,0.0177274169931126
t__SGB4832,0.173544802290085,0.921241476973168,0.486299428196877,0.5989217231969356,,0.181168839508328
t__SGB14797,0.173544802290085,0.597061866926295,0.44526563319233825,0.5989217231969356,,0.0264202222757046
t__SGB4121,0.174866034682525,0.617290548725713,0.5389155146605571,0.7655945432425444,,0.159444721117816
t__SGB4563,0.179204486069409,0.38571273664828,0.5389155146605571,0.852881906954629,0.852734241043094,0.107850832727762
t__SGB17152,0.185764281227914,0.516605626750103,0.5389155146605571,0.5323899575137359,,0.00589134969735291
t__SGB15143,0.186448437136188,0.449415290192396,0.5174650324863403,0.04762954550700977,,0.822291377631905
t__SGB4044,0.186448437136188,0.308389863877202,0.5118796839089348,0.2542225510526138,,0.0824413109308318
t__SGB8057,0.188236614262246,0.531143818204606,0.486299428196877,0.5989217231969356,,0.00178852093452712
t__SGB14969,0.188298499200727,0.246024281971792,0.5389155146605571,0.4882543189445844,,4.01320891753612e-10
t__SGB4886,0.198810353477613,0.472010595937419,0.5389155146605571,0.8854662043865966,,7.01101628667963e-09
t__SGB63163,0.198810353477613,0.421032822046332,0.5133523849645006,0.005018149413509155,,0.0897973397947219
t__SGB14313,0.203484338160653,0.788849717417432,0.5389155146605571,0.23594613870901623,0.235893744049216,0.00192730846522233
t__SGB15332,0.203484338160653,0.379805590293855,0.4846639906156276,0.3546959345253768,0.354019617167258,0.00313939786380927
t__SGB17241,0.205389442239411,0.52667403044775,0.48275423833092673,0.16798915771381068,0.167931452578516,6.87986521941534e-08
t__SGB4687,0.205389442239411,0.595158028706459,0.5389155146605571,0.5989217231969356,,0.000335980846141372
t__SGB5792,0.206452424843474,0.595470870658613,0.5037880905452659,0.1894780480620402,0.189508089533716,0.971950624904769
t__SGB14177,0.213057018443167,0.0058830483764756,0.48275423833092673,0.02596613200286442,,6.25217076000885e-08
t__SGB29347,0.21822995991405,0.617290548725713,0.486299428196877,0.8231572469227817,,0.000235673454561506
t__SGB1836,0.218932910307023,0.154362338899656,0.5389155146605571,0.16798915771381068,0.167931452578516,0.273358205179084
t__SGB14397,0.219006372249876,0.617290548725713,0.5389155146605571,0.5079006792430552,,0.367023218436949
t__SGB4871,0.220086104432017,0.00152312422634724,0.5378475308469559,0.009146104592952531,0.00915271517689044,1.26171115318678e-08
t__SGB4063,0.222686918123162,0.437848104793292,0.5389155146605571,0.08367250136888549,,0.868742974577361
t__SGB14995,0.222686918123162,0.565409392434621,0.5389155146605571,0.863773665660645,,0.00970566384101625
t__SGB2071,0.222686918123162,0.831558734350416,0.5389155146605571,0.25379628556973755,0.253783857579424,1.13806691385811e-08
t__SGB1891,0.222686918123162,0.917576606921021,0.4864318487424434,0.18693018679135207,0.186824968637685,0.0998258721954635
t__SGB15203,0.222686918123162,0.0962956733231029,0.5389155146605571,0.18600530221748035,,1.18868232826027e-10
t__SGB5193,0.222686918123162,0.410301836607834,0.5389155146605571,0.6937669943318162,0.693663318210239,9.2600691092306e-16
t__SGB17130_group,0.222686918123162,0.12395631836697,0.5389155146605571,0.4231277486121318,,1.38862692717583e-15
t__SGB4711,0.227884134264696,0.0165986854233735,0.5205295329575121,0.07988943348948258,,8.49012246218528e-08
t__SGB6478,0.232548610314073,0.597061866926295,0.5389155146605571,0.7080347078761584,0.707525399505219,0.345862546975045
t__SGB1862,0.232548610314073,0.591654493762811,0.5389155146605571,0.1692454812304648,0.169152071901486,0.407504222234908
t__SGB15267,0.232548610314073,0.455268186888838,0.5037880905452659,0.2860898087942186,0.286002276355245,0.000211537781066313
t__SGB15236,0.232548610314073,0.617290548725713,0.5389155146605571,0.27920183363589823,0.279062245038307,0.218209805015056
t__SGB15180,0.232548610314073,0.850534169465482,0.5389155146605571,0.5807014358315272,,0.565535854969151
t__SGB4893,0.232548610314073,0.168913794062541,0.5389155146605571,0.3546959345253768,,0.0216841279185224
t__SGB47656,0.232548610314073,0.63522796253887,0.5158026470860736,0.8767083041369687,,4.94682101109705e-07
t__SGB3969,0.232548610314073,0.183642424510349,0.5389155146605571,0.04783889309362906,,1.3170218704724e-05
t__SGB14891,0.232548610314073,0.178532852797629,0.5389155146605571,0.058038755297681814,,0.0647377244198028
