model,fold,accuracy,roc_auc,precision,recall,f1
knn,1,0.5555555555555556,0.6386091017306108,0.5053191489361702,0.7089552238805971,0.5900621118012424
knn,2,0.5656565656565656,0.6546561670176724,0.5118483412322274,0.8059701492537313,0.6260869565217391
knn,3,0.6430976430976431,0.6588682355095686,0.6320754716981132,0.5,0.5583333333333333
knn,4,0.5993265993265994,0.6831560608839171,0.5393258426966292,0.7218045112781954,0.617363344051447
knn,5,0.6094276094276094,0.7022739776269943,0.5435897435897435,0.7969924812030075,0.646341463414634
