model,fold,accuracy,roc_auc,precision,recall,f1
xgb,1,0.7878787878787878,0.8599945059976192,0.8141592920353983,0.6865671641791045,0.7449392712550607
xgb,2,0.7878787878787878,0.8567438879223515,0.7886178861788617,0.7238805970149254,0.754863813229572
xgb,3,0.7811447811447811,0.8631535573665414,0.776,0.7238805970149254,0.7490347490347491
xgb,4,0.7912457912457912,0.8629194938565927,0.8141592920353983,0.6917293233082706,0.7479674796747967
xgb,5,0.7676767676767676,0.7994223363286264,0.7758620689655172,0.6766917293233082,0.7228915662650602
