feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t__SGB15452	Group	CTR	-0.00152968955366674	0.000219307371003886	1485	1160	4.58974610939183e-12	2.68041172788483e-09
t__SGB4608	Group	CTR	-0.0034543562080123	0.000551959953319512	1485	1147	5.08174946270485e-10	1.48387084310982e-07
t__SGB5190	Group	CTR	-0.00210552866298819	0.000348484444740585	1485	921	1.92213174916202e-09	3.74174980503539e-07
t__SGB1790	Group	CTR	-0.0018547462848615	0.000311555253139784	1485	1098	3.27714788715583e-09	4.78463591524752e-07
t__SGB1784	Group	CTR	-0.00042761465158745	7.52727929768715e-05	1485	643	1.61038444458042e-08	1.88092903126993e-06
t__SGB4269	Group	CTR	0.00170673286393492	0.000302686264169966	1485	1150	2.04913724379597e-08	1.99449358396141e-06
t__SGB5842	Group	CTR	-0.000551578701353564	0.000100915740010545	1485	211	5.40060327203164e-08	4.50564615838068e-06
t__SGB15271	Group	CTR	-0.0022503627530294	0.000427284538321167	1485	1280	1.59364266623113e-07	1.16335914634873e-05
t__SGB4925	Group	CTR	0.00483051505630047	0.000968380783870292	1485	1035	6.81132828566751e-07	4.41979524314425e-05
t__SGB4933	Group	CTR	0.00931284743820673	0.00188230620784444	1485	1157	8.37122257740235e-07	4.44435816836634e-05
t__SGB1853	Group	CTR	-0.00236857756360267	0.000478529903681698	1485	224	8.28189735242988e-07	4.44435816836634e-05
t__SGB14999	Group	CTR	-0.000131692277095911	2.6963947963602e-05	1485	833	1.15197454633501e-06	5.60627612549704e-05
t__SGB4367	Group	CTR	-0.00350562858971819	0.00072051440546861	1485	450	1.2636552568515e-06	5.67672823077905e-05
t__SGB4614	Group	CTR	-2.91021636963915e-05	6.00991749779742e-06	1485	334	1.41723370628941e-06	5.91188917480727e-05
t__SGB15346	Group	CTR	0.00279504150406468	0.000582483128159796	1485	1015	1.75978233564726e-06	6.37835349814538e-05
t__SGB3988	Group	CTR	-0.000282193326001061	5.89428639432891e-05	1485	506	1.85671249089848e-06	6.37835349814538e-05
t__SGB5197	Group	CTR	5.33016518379464e-05	1.11058416577598e-05	1485	327	1.75174449847498e-06	6.37835349814538e-05
t__SGB15091	Group	CTR	-0.00382870278354461	0.000813210624097003	1485	495	2.73352076083311e-06	8.86875624625854e-05
