taxon,W,pval,qval,sig
t__SGB4285,0.600820003437112,0.548094282093872,0.606844815241116,FALSE
t__SGB5121,7.68134787243062,2.22920607843548e-13,2.3670115451024e-12,TRUE
t__SGB5825_group,3.79957944808599,0.000165585685394516,0.000385267092710747,TRUE
t__SGB4933,7.19787541202429,1.09881403987879e-12,1.06951233214868e-11,TRUE
t__SGB1814,-2.32432892959002,0.0202546505870292,0.0313759043576261,TRUE
t__SGB1836,-1.21471784207747,0.224677976859521,0.273358205179084,FALSE
t__SGB4894,1.23122144495038,0.218945829641372,0.266940218184888,FALSE
t__SGB1844,-4.17831106644463,3.30084596587739e-05,8.72259748449049e-05,TRUE
t__SGB1812,1.85141161906131,0.0646167052958277,0.0897973397947219,FALSE
t__SGB6478,-1.05996248012976,0.290192890441391,0.345862546975045,FALSE
t__SGB5111,5.38632510192455,1.15199941354315e-07,4.94682101109705e-07,TRUE
t__SGB9226,-1.16341905109932,0.24511590195296,0.2951498695681,FALSE
t__SGB4327,13.6190857510152,3.90643478027205e-34,2.53484212408764e-32,TRUE
t__SGB2318,-1.20063981988335,0.230140581803938,0.278842530650414,FALSE
t__SGB14313,3.34500437189709,0.000957053861154923,0.00192730846522233,TRUE
t__SGB15368,3.35073094140999,0.000869415970026364,0.00177531093180209,TRUE
t__SGB4940,3.42935918959511,0.00062520592607397,0.00129017760009611,TRUE
t__SGB4557,0.828767229298498,0.407589856742063,0.46764730125219,FALSE
t__SGB1867,0.23204504695383,0.816544418826452,0.838070194366693,FALSE
t__SGB4652,2.92572208761599,0.00361278659430087,0.00651193633046824,TRUE
t__SGB5087,3.04814101950045,0.00242256486203249,0.00454912501423464,TRUE
t__SGB4303,9.32998241247446,4.27739591707753e-19,9.60768929066645e-18,TRUE
t__SGB1798,5.12778370762503,4.417695029084e-07,1.64326999807965e-06,TRUE
t__SGB6276,3.70962874888467,0.000247132314906577,0.000557240432067339,TRUE
t__SGB4648,2.02350071022433,0.0444078222856406,0.064673736196544,FALSE
t__SGB5045,4.16690279083963,3.39058323799924e-05,8.9193721215836e-05,TRUE
t__SGB14311,-4.01278274063202,7.27557441853273e-05,0.000180039638153522,TRUE
t__SGB1790,-4.31769478364314,1.71940628299287e-05,4.8044654031954e-05,TRUE
t__SGB1934,-3.39838530366481,0.000697984869984774,0.0014352928312363,TRUE
t__SGB4925,6.21053624166707,7.64046449015779e-10,5.12877156580707e-09,TRUE
t__SGB4577,3.60512559948823,0.000327415426963535,0.000721549469232847,TRUE
t__SGB1860,15.9240537903502,2.1029897293633e-39,2.04691000324694e-37,TRUE
t__SGB4581,3.0576719743013,0.002314651978808,0.00437461733211608,TRUE
t__SGB1965,-0.106019015937203,0.915595389067287,0.925099839472829,FALSE
t__SGB5089,5.78890539169292,1.00639516665425e-08,5.5974740697722e-08,TRUE
t__SGB6140,1.96612326512619,0.0497841802108568,0.0716107419781782,FALSE
t__SGB5077,0.792585477748947,0.428523185428216,0.48688237410521,FALSE
t__SGB4993,2.73602800239399,0.006328266300214,0.0107433358119912,TRUE
t__SGB1877,-2.3907671258216,0.0169958922993878,0.0266101906242426,TRUE
t__SGB4563,-1.75489804514169,0.0795953919617557,0.107850832727762,FALSE
