model,fold,accuracy,roc_auc,precision,recall,f1
rf,1,0.7710437710437711,0.8479992674663492,0.8113207547169812,0.6417910447761194,0.7166666666666667
rf,2,0.797979797979798,0.8550956872081311,0.8189655172413793,0.7089552238805971,0.76
rf,3,0.7845117845117845,0.8565607545096603,0.8070175438596491,0.6865671641791045,0.7419354838709676
rf,4,0.797979797979798,0.8600770218228498,0.8543689320388349,0.6616541353383458,0.7457627118644067
rf,5,0.7777777777777778,0.796396479002384,0.8130841121495327,0.6541353383458647,0.7249999999999999
