model,fold,accuracy,roc_auc,precision,recall,f1
svm,1,0.6666666666666666,0.7152046515886823,0.6767676767676768,0.5,0.575107296137339
svm,2,0.7104377104377104,0.7723651680249062,0.6846153846153846,0.664179104477612,0.6742424242424242
svm,3,0.7003367003367004,0.7614229466166103,0.6618705035971223,0.6865671641791045,0.6739926739926739
svm,4,0.7037037037037037,0.7660462130937098,0.6890756302521008,0.6165413533834586,0.6507936507936508
svm,5,0.6498316498316499,0.7418393544837704,0.6141732283464567,0.5864661654135338,0.6
