	+samples in group 0	+samples in group 1	counts in group 0	counts in group 1	oddsRatio	lower	upper	fisherP	fisherAdjP	logFC	se	pvalues	adjPvalues
t__SGB14875	4	3	0.0432899419867828	0.000181100069760005	1.63397161019841	0.275393388903459	11.196338722979	0.707447279096048	0.973103589473824	-5.10014581218386	1.48992367196944	0.000619131172581167	0.0166446782200169
t__SGB5896	29	2	0.0310712026934236	4.01999880200036e-05	18.4683320355888	4.64306671175043	160.143605730214	1.64591251495911e-08	1.59865889759416e-06	-5.07589364676814	1.53486743345013	0.000942818025952086	0.0221783209073573
t__SGB6537	12	2	0.0217725979292117	5.39999892000022e-05	7.4454904587529	1.64881680051313	68.8455988241109	0.00227723794991666	0.0291777168816982	-5.06750035843096	1.69289974054649	0.00275901641090792	0.0477436690416308
t__SGB746	70	11	0.121404489502463	0.00103659989974001	8.5655100986288	4.45675963765506	18.1041807875047	2.17968392388958e-15	4.68787735345109e-13	-4.63390663625804	0.674117777646498	6.24122975523278e-12	2.35848648943993e-09
t__SGB28985	22	4	0.0215574980245435	0.000194599937880032	6.91358304133236	2.3319923559664	27.739373322215	3.54825161131653e-05	0.0010578005546212	-4.24102539017683	1.21692685778511	0.00049208370642595	0.0141110860957003
t__SGB987	12	3	0.0162969066558855	8.00000212800073e-05	4.95923449055798	1.33060180143233	27.4942692710354	0.00771362008098518	0.0733593885076727	-4.21311489931784	1.63055847128977	0.00977049035503441	0.117388363453738
t__SGB1560	92	9	1.13661569748511	0.200313044355449	14.319254609198	7.14430807929537	32.5734252972931	6.81510231197971e-24	2.93146758019584e-21	-4.09198718344634	0.869261636976731	2.50860972839106e-06	0.000193677535697064
t__SGB2016	42	2	0.523653034279425	0.0047781985665404	27.3003742447967	7.0545915079739	232.465749903646	4.05137689150465e-13	7.17570342371794e-11	-4.07629626895546	1.94064903954194	0.035686557799754	0.272100345095236
t__SGB19413	4	2	0.0406087960056005	9.18999458400333e-05	2.45337497759105	0.350389568291711	27.2057817694386	0.417821112262213	0.815057116278193	-4.04298454119177	2.21530391581483	0.0679972900221715	0.390330325048711
t__SGB6396	3	3	8.75000417600214e-05	0.0061403997891601	1.22388765344066	0.163382809204681	9.17026942216817	1	1	4.01680354717174	1.70116766605031	0.0182157172883031	0.178532852797629
t__SGB1973	37	10	0.234181611321544	0.000466900015950012	4.7274588184208	2.28291600146053	10.744856317205	1.99837706154098e-06	0.000100285222204998	-3.9676053390454	0.98793613317471	5.91805791170241e-05	0.00259726264075839
